ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	ensembl
101444_at	-1.403170760091415	9.51617239289936	-9.405665177525137	2.9005758470018037e-7	1.2114512099451013e-5	7.047900878582837	ENSMUSG00000030264
97406_at	-1.4041594093494272	8.443438058537918	-6.697033215374906	1.2822818296762489e-5	2.2026321167808798e-4	3.123387734302291	ENSMUSG00000038533
95482_at	-1.411326174062534	9.938002197688803	-10.794773818661435	5.6223884202971505e-8	3.676041182862346e-6	8.737417810560395	ENSMUSG00000022710
93130_at	-1.4133783802836923	8.97267196236851	-10.236057471690327	1.0649581558607019e-7	5.476609928502037e-6	8.080875709404918	ENSMUSG00000058392
162483_f_at	-1.4139420500851028	7.341361004947216	-6.277003566793031	2.5062366035359766e-5	3.6595152036701e-4	2.4289648895554112	ENSMUSG00000001435
161106_r_at	-1.4151301782873276	8.130858803765896	-6.316806618024888	2.3495897962461805e-5	3.484759783316188e-4	2.4958174443963337	NA.28
103207_at	-1.4260750503526118	8.993327078505224	-6.335405378769024	2.2799587828885675e-5	3.413357478527158e-4	2.5269803807418025	ENSMUSG00000006678
99917_at	-1.4325529943566018	9.503376846215945	-7.907941076156819	2.11601627776594e-6	5.6342881187081145e-5	4.991450539089145	ENSMUSG00000029687
92808_f_at	-1.4561382319053635	11.906017202527556	-11.021018188769958	4.373884853921491e-8	3.1100136111093407e-6	8.995017486422864	ENSMUSG00000030357
160912_i_at	-1.4594901556309958	6.816194294177454	-5.776237912896719	5.752076355282449e-5	6.906916300458386e-4	1.5692018222096138	ENSMUSG00000025423.1
93721_at	-1.461103726444998	8.248977436887351	-6.351674221131654	2.2208314992030294e-5	3.3468793146880363e-4	2.554200156105738	ENSMUSG00000028656
96109_at	-1.4614422382970549	9.19943486450625	-14.157108328355225	1.972763514256767e-9	3.1309179050016596e-7	12.14354911816848	ENSMUSG00000055148
93999_at	-1.4624294410094247	11.251387911194966	-9.311316535655958	3.2641272376513116e-7	1.3149168046383734e-5	6.925951854688323	ENSMUSG00000057278
102893_at	-1.4632322513419815	8.022449706661188	-6.082633020332848	3.4456313373873925e-5	4.6872597103805836e-4	2.0993528320287993	ENSMUSG00000026565
94375_at	-1.4637492805758665	10.315829083613217	-6.387634088714319	2.095793786159206e-5	3.1839747933766623e-4	2.6142353483445238	ENSMUSG00000000628
103683_at	-1.4646194043337264	8.958393600183014	-9.219461456940463	3.6649781090713047e-7	1.462244301152794e-5	6.806291684630271	ENSMUSG00000031730
97908_at	-1.4674298499158471	8.897820633436421	-7.168297441119601	6.219041829367967e-6	1.2752609912175232e-4	3.873663660770953	ENSMUSG00000002222
103201_at	-1.468522326625747	8.994937975225904	-8.24593034780673	1.3219766069081668e-6	3.884433851075103e-5	5.478890908383658	ENSMUSG00000038379
96042_at	-1.4779449578650272	9.040861579953692	-6.178837627887818	2.9414315032517966e-5	4.1319006313395316e-4	2.2631491252369926	ENSMUSG00000006818
98024_at	-1.4845637166329464	9.893274060305606	-5.778565094198265	5.729448879016796e-5	6.88636743033318e-4	1.5732768774119563	ENSMUSG00000020248
96772_at	-1.489693727817853	8.242291095763946	-6.086696295979779	3.42259489029483e-5	4.670797128834443e-4	2.1062967585378374	ENSMUSG00000025395
97536_at	-1.4904957377679988	8.60765698499649	-10.355553605101882	9.268368774206029e-8	4.988939191908832e-6	8.223799816584663	NA.29
103354_at	-1.5002936468512988	9.907988933864154	-7.879683848675328	2.2022476933607945e-6	5.789825093618864e-5	4.950049205088513	ENSMUSG00000031533
92244_at	-1.5004628199403696	7.751082699795579	-9.554551868673842	2.4118150148815746e-7	1.0718414913110713e-5	7.238389563459657	ENSMUSG00000039748
160979_at	-1.5072757002309913	10.99515295094265	-7.704839605763829	2.8257857576064345e-6	7.001669154958165e-5	4.691608575350706	ENSMUSG00000030970.1
97824_at	-1.5092115815246867	11.88982346124315	-7.823864477061828	2.3837291876397422e-6	6.137734040256722e-5	4.867966545066434	ENSMUSG00000001056
101057_at	-1.5236481004130233	8.986779199249304	-6.264118652656768	2.5592705940883747e-5	3.7076764708788423e-4	2.4072765778048417	ENSMUSG00000047613
99541_at	-1.5268216746216776	9.11781660488448	-11.153990542326117	3.781121830667926e-8	2.761324527566144e-6	9.144277000207115	ENSMUSG00000012443
96187_at	-1.5275005580788399	9.352775307650875	-7.57624937341981	3.4025939217804775e-6	8.155775987561343e-5	4.499022639655584	ENSMUSG00000026991
160672_at	-1.5290448167178052	8.618124838844487	-7.445940970935439	4.115975281186123e-6	9.328547969410582e-5	4.3016628686635485	ENSMUSG00000027079
160980_at	-1.539192016955968	7.86894379228988	-7.275736034204875	5.29480722323567e-6	1.1226070051573353e-4	4.040503217031564	ENSMUSG00000062198
102952_g_at	-1.5402919345262625	8.141643854265924	-9.778727671506052	1.8342521796595564e-7	8.64382687531643e-6	7.520775679528159	ENSMUSG00000045867
160968_at	-1.5450911004769505	8.734190957028044	-6.1825591195963066	2.9235600844897206e-5	4.125358003966964e-4	2.2694595630425116	ENSMUSG00000068522
160496_s_at	-1.5569884602034456	10.79586578745005	-12.228243545605045	1.2255956221229005e-8	1.1773260099285217e-6	10.295130949537477	ENSMUSG00000041859
95610_at	-1.5569924471300016	9.139644323336201	-8.625642187866303	7.916759230405317e-7	2.686535034491891e-5	6.009814850819179	ENSMUSG00000023932
101106_at	-1.5580968439572267	11.149325913841022	-6.578383542082239	1.5457403271144652e-5	2.5365578455986123e-4	2.9296992859482227	ENSMUSG00000029405
93527_at	-1.5640612092098962	8.038301330464975	-11.161790292605605	3.749125759435681e-8	2.7540636755195756e-6	9.152983588294923	ENSMUSG00000033863
97411_at	-1.5701670185920094	10.859460297305873	-6.1559023715700025	3.0541378880421473e-5	4.256704681458743e-4	2.224216111246424	ENSMUSG00000027699
95677_at	-1.5717125595863237	9.880612773381023	-7.808327399448553	2.437017384779583e-6	6.262031502289596e-5	4.8450484908627995	ENSMUSG00000074088
93143_at	-1.571941910570649	8.932548641681576	-7.006134112079688	7.951004640357813e-6	1.5322862029134007e-4	3.618901326918696	NA.30
92581_at	-1.573657753853789	10.101668580345546	-6.473260554407493	1.8269722905596137e-5	2.8770781796353664e-4	2.7564682610993856	ENSMUSG00000062908
